,id,title,original_title,release_date,budget,revenue,popularity,vote_average,vote_count,runtime,original_language,year
224,341174,Fifty Shades Darker,Fifty Shades Darker,2017-02-08,55000000,381545846,8.6146,6.473,7980,118,en,2017
225,392044,Murder on the Orient Express,Murder on the Orient Express,2017-11-03,55000000,352800000,9.8623,6.707,10620,114,en,2017
226,47971,xXx: Return of Xander Cage,xXx: Return of Xander Cage,2017-01-13,85000000,346118277,14.4059,6.1,9279,107,en,2017
227,479306,Never Say Die,羞羞的铁拳,2017-09-30,0,334530869,1.0858,6.034,89,100,zh,2017
228,406997,Wonder,Wonder,2017-11-13,20000000,315025930,18.4178,8.104,8317,113,en,2017
229,324849,The Lego Batman Movie,The Lego Batman Movie,2017-02-08,80000000,311950384,10.2952,7.253,5488,104,en,2017
230,396422,Annabelle: Creation,Annabelle: Creation,2017-08-03,15000000,306592201,12.2322,6.609,6034,110,en,2017
231,364689,Ferdinand,Ferdinand,2017-12-09,111000000,295038508,5.8121,7.212,3125,108,en,2017
232,346648,Paddington 2,Paddington 2,2017-11-09,40000000,290132513,6.6661,7.478,2838,104,en,2017
233,350312,Bāhubali 2: The Conclusion,బాహుబలి 2: ది కన్ క్లూజన్,2017-04-27,31000000,280700000,3.7883,7.486,869,167,te,2017
234,381288,Split,Split,2017-01-19,9000000,278454358,14.583,7.342,18457,117,en,2017
235,335984,Blade Runner 2049,Blade Runner 2049,2017-10-04,150000000,259239658,28.4432,7.6,15364,164,en,2017
236,419430,Get Out,Get Out,2017-02-24,4500000,255407969,19.5905,7.624,19085,104,en,2017
237,383785,Kung Fu Yoga,功夫瑜伽,2017-01-27,65000000,254212245,2.9873,5.875,437,107,zh,2017
238,435800,Journey to the West: The Demons Strike Back,西游伏妖篇,2017-01-28,63900000,248805149,4.9031,6.024,143,109,zh,2017
239,126889,Alien: Covenant,Alien: Covenant,2017-05-09,97000000,240891763,11.8205,6.182,9530,122,en,2017
240,339403,Baby Driver,Baby Driver,2017-06-28,34000000,226945087,11.1093,7.443,16979,113,en,2017
